JOBID     PARTITSTATE     ACCOUNT   USER      NAME                                                             TIME        TIME_LIMIT  PRIORITY            TRES_ALLOC                                                                 REASON                            SUBMIT_TIME         START_TIME          
61748185  c23g  RUNNING   rwth1875  tg497308  v2_self                                                          3-09:52:10  6-06:00:00  0.00024571828550    cpu=96,mem=487.50G,node=1,billing=96,gres/gpu=4,gres/gpu:hopper=4          None                              2025-10-18T01:44:21 2025-10-18T01:59:07 
61748195  c23g  RUNNING   rwth1875  tg497308  v2_self_pld                                                      3-09:08:22  6-06:00:00  0.00024563702760    cpu=96,mem=487.50G,node=1,billing=96,gres/gpu=4,gres/gpu:hopper=4          None                              2025-10-18T01:48:46 2025-10-18T02:42:55 
61748205  c23g  RUNNING   rwth1875  tg497308  v2_self_qd                                                       3-08:58:26  6-06:00:00  0.00024556298746    cpu=96,mem=487.50G,node=1,billing=96,gres/gpu=4,gres/gpu:hopper=4          None                              2025-10-18T01:52:07 2025-10-18T02:52:51 
61795593  c23g  RUNNING   rwth1870  zg671722  interactive                                                      42:06       10:00:00    0.00024489173671    cpu=4,mem=32G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-21T11:08:16 2025-10-21T11:09:11 
61795589  c23g  RUNNING   p0021834  cu829455  inferenceMedGemma4B                                              41:51       3-23:00:00  0.00024357950321    cpu=24,mem=124800M,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1          None                              2025-10-21T11:07:33 2025-10-21T11:09:26 
61768620  c23g  RUNNING   p0024392  nm852667  TBM1                                                             1-00:23:22  5-00:00:00  0.00024232710717    cpu=64,mem=326400M,node=1,billing=64,gres/gpu=1,gres/gpu:hopper=1          None                              2025-10-20T11:22:01 2025-10-20T11:27:55 
61795312  c23g  RUNNING   p0024392  nm852667  TBM0                                                             51:11       5-00:00:00  0.00024214619776    cpu=64,mem=326400M,node=1,billing=64,gres/gpu=1,gres/gpu:hopper=1          None                              2025-10-21T10:55:01 2025-10-21T11:00:06 
61767162  c23g  RUNNING   p0021919  mf724021  tsfm_train                                                       1-01:25:15  2-00:00:00  0.00023700832395    cpu=192,mem=975G,node=2,billing=192,gres/gpu=8,gres/gpu:hopper=8           None                              2025-10-20T10:26:00 2025-10-20T10:26:02 
61765331  c23g  RUNNING   p0021919  mf724021  tsfm_train                                                       1-02:02:11  2-00:00:00  0.00023700715979    cpu=192,mem=975G,node=2,billing=192,gres/gpu=8,gres/gpu:hopper=8           None                              2025-10-20T09:49:05 2025-10-20T09:49:06 
61778307  c23g  RUNNING   p0020567  mz637064  radialplot                                                       18:39:55    2-00:00:00  0.00023571448406    cpu=8,mem=150G,node=1,billing=29                                           None                              2025-10-20T17:11:00 2025-10-20T17:11:22 
61767153  c23g  RUNNING   p0020567  ym345467  SamSam_jupyter                                                   1-01:26:59  2-23:30:00  0.00023570470517    cpu=20,mem=70G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1              None                              2025-10-20T10:24:17 2025-10-20T10:24:18 
61782916  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     16:58:22    4-04:00:00  0.00023451680323    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T18:52:55 
61782310  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     17:11:07    4-04:00:00  0.00023451331077    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T18:40:10 
61782157  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     17:18:01    4-04:00:00  0.00023451214662    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T18:33:16 
61781993  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     17:21:45    4-04:00:00  0.00023451098246    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T18:29:32 
61783199  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     16:53:04    4-04:00:00  0.00023439736111    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T18:58:13 
61783831  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     16:37:55    4-04:00:00  0.00023438571958    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T19:13:22 
61781357  c23g  RUNNING   rwth1873  ck934405  SCALING_LAWS                                                     16:07:56    4-04:00:00  0.00023327604873    cpu=24,mem=120G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1             None                              2025-10-20T18:16:13 2025-10-20T19:43:21 
61770153  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.3rKx6BUMkf2j.run     23:25:45    1-00:00:00  0.00023249792872    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:58 2025-10-20T12:25:32 
61770152  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.CudqZpYSYWHF.run     23:25:47    1-00:00:00  0.00023249792872    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:58 2025-10-20T12:25:30 
61770142  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.dB4f5quiIfBP.run     23:26:28    1-00:00:00  0.00023249676457    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:58 2025-10-20T12:24:49 
61770139  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.4QttXNM3nfbt.run     23:26:37    1-00:00:00  0.00023249676457    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:58 2025-10-20T12:24:40 
61770133  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.lNYQIg7x05e9.run     23:27:03    1-00:00:00  0.00023249676457    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:57 2025-10-20T12:24:14 
61770130  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.aKRufEaJ5Ye5.run     23:27:09    1-00:00:00  0.00023249676457    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:57 2025-10-20T12:24:08 
61770126  c23g  RUNNING   p0023565  az668407  i6_core.returnn.forward.ReturnnForwardJobV2.AmrTVwjYaS6f.run     23:28:06    1-00:00:00  0.00023249676457    cpu=2,mem=16G,node=1,billing=24,gres/gpu=1,gres/gpu:hopper=1               None                              2025-10-20T12:14:57 2025-10-20T12:23:11 
